gutenberg_id,title,author,category,year_published,rationale
1342,Pride and Prejudice,"Austen, Jane",Victorian British fiction,1813,"Manners, class, marriage markets; strong clustering for social mobility and gender constraint."
161,Sense and Sensibility,"Austen, Jane",Victorian British fiction,1811,"Emotion vs restraint; family economics and reputation themes."
1400,Great Expectations,"Dickens, Charles",Victorian British fiction,1861,"Class aspiration, guilt, transformation; bridges crime, identity, and social critique clusters."
98,A Tale of Two Cities,"Dickens, Charles",Victorian British fiction,1859,"Revolution, sacrifice, mob politics; connects to war/political upheaval clusters."
1023,Bleak House,"Dickens, Charles",Victorian British fiction,1853,"Institutional critique (law), fog-of-bureaucracy themes; ideal for governance/justice clusters."
1260,Jane Eyre,"Brontë, Charlotte",Victorian British fiction,1847,"Autonomy, morality, desire vs duty; strong gender/constraint + identity themes."
768,Wuthering Heights,"Brontë, Emily",Victorian British fiction,1847,"Obsession, isolation, revenge; connects to psychological torment clusters."
145,Middlemarch,"Eliot, George",Victorian British fiction,1872,"Marriage, vocation, reform politics; high thematic density across ethics and society."
599,Vanity Fair,"Thackeray, William Makepeace",Victorian British fiction,1848,"Ambition, hypocrisy, social climbing; strengthens satire + class clusters."
583,The Woman in White,"Collins, Wilkie",Victorian British fiction,1860,"Identity, deception, legal confinement; bridges mystery with social constraint themes."
4276,North and South,"Gaskell, Elizabeth Cleghorn",Victorian British fiction,1855,"Industrial class conflict, labor/capital; anchors social critique and work/life themes."
110,Tess of the d'Urbervilles,"Hardy, Thomas",Victorian British fiction,1891,"Fate, sexuality, judgment; connects morality, gender, rural life clusters."
143,The Mayor of Casterbridge,"Hardy, Thomas",Victorian British fiction,1886,"Pride, downfall, community; complements tragedy and reputation clusters."
174,The Picture of Dorian Gray,"Wilde, Oscar",Victorian British fiction,1890,"Hedonism, corruption, identity; gothic + moral philosophy bridge work."
2852,The Hound of the Baskervilles,"Doyle, Arthur Conan",Victorian British fiction,1902,"Rationalism vs superstition; detective logic links to science/unknown clusters."
2701,Moby Dick,"Melville, Herman",American classics,1851,"Obsession, nature, metaphysics; bridges wilderness, madness, and the sublime."
76,Adventures of Huckleberry Finn,"Twain, Mark",American classics,1884,"Race, freedom, moral growth; key for identity and social critique clusters."
25344,The Scarlet Letter,"Hawthorne, Nathaniel",American classics,1850,"Shame, law, community judgment; overlaps gender constraint and moral psychology."
77,The House of the Seven Gables,"Hawthorne, Nathaniel",American classics,1851,"Ancestral guilt, property, decay; gothic-inflected American history themes."
64317,The Great Gatsby,"Fitzgerald, F. Scott",American classics,1925,"Wealth, desire, disillusionment; sharp class/mobility themes in modern America."
215,The Call of the Wild,"London, Jack",American classics,1903,"Wilderness, instinct, domination; connects frontier survival with animality themes."
910,White Fang,"London, Jack",American classics,1906,"Civilization vs wild, violence, belonging; complements Call of the Wild for nature clusters."
73,The Red Badge of Courage,"Crane, Stephen",American classics,1895,"Fear, courage, war psychology; anchors war/aftermath clusters."
160,The Awakening,"Chopin, Kate",American classics,1899,"Desire, autonomy, social pressure; strong gender constraint themes."
541,The Age of Innocence,"Wharton, Edith",American classics,1920,"Social codes, marriage, status; complements Austen/Dickens class clusters cross-era."
4517,Ethan Frome,"Wharton, Edith",American classics,1911,"Constraint, duty, rural poverty; tight tragedy for isolation/entrapment clusters."
514,Little Women,"Alcott, Louisa May",American classics,1868,"Domestic life, ambition, gender roles; strong family/constraint vocabulary."
140,The Jungle,"Sinclair, Upton",American classics,1906,"Labor, corruption, capitalism; anchors industrial exploitation clusters."
233,Sister Carrie,"Dreiser, Theodore",American classics,1900,"Urban ambition, desire, social mobility; bridges labor and class themes."
205,Walden,"Thoreau, Henry David",American classics,1854,"Self-reliance, nature, dissent; bridges philosophy with American wilderness."
23,Narrative of the Life of Frederick Douglass,"Douglass, Frederick",American classics,1845,"Freedom, violence, literacy; strengthens oppression/liberation thematic domain."
2554,Crime and Punishment,"Dostoevsky, Fyodor",Russian literature,1866,"Guilt, redemption, moral reasoning; core psychological torment cluster."
28054,The Brothers Karamazov,"Dostoevsky, Fyodor",Russian literature,1880,"Faith, doubt, responsibility; dense ethical and existential themes."
600,Notes from Underground,"Dostoevsky, Fyodor",Russian literature,1864,"Alienation, spite, consciousness; high-signal existential vocabulary."
2638,The Idiot,"Dostoevsky, Fyodor",Russian literature,1869,"Innocence, society, nihilism; bridges morality and social critique."
2600,War and Peace,"Tolstoy, Leo",Russian literature,1869,"History, war, family, meaning; anchors war/aftermath + philosophy clusters."
1399,Anna Karenina,"Tolstoy, Leo",Russian literature,1877,"Desire, duty, society; strong cross-link to Austen/Wharton social constraint."
1938,Resurrection,"Tolstoy, Leo",Russian literature,1899,"Justice, repentance, prison system; bridges law, ethics, and social reform."
47935,Fathers and Sons,"Turgenev, Ivan",Russian literature,1862,"Generational conflict, nihilism; connects ideology and family themes."
1081,Dead Souls,"Gogol, Nikolai",Russian literature,1842,"Bureaucracy, greed, satire; complements Dickens/Thackeray social critique."
913,A Hero of Our Time,"Lermontov, Mikhail",Russian literature,1840,"Byronic antihero, ennui; bridges romanticism with existential dread."
84,Frankenstein,"Shelley, Mary",Early sci-fi & gothic,1818,"Creation, responsibility, monstrosity; bridge between science anxiety and ethics."
345,Dracula,"Stoker, Bram",Early sci-fi & gothic,1897,"Contagion, sexuality, invasion; strong fear/otherness cluster."
43,Strange Case of Dr Jekyll and Mr Hyde,"Stevenson, Robert Louis",Early sci-fi & gothic,1886,"Duality, addiction, respectability; psychological + morality bridge."
35,The Time Machine,"Wells, H. G.",Early sci-fi & gothic,1895,"Deep time, class evolution; connects social critique to speculative futurism."
36,The War of the Worlds,"Wells, H. G.",Early sci-fi & gothic,1898,"Invasion, technology, panic; clusters with imperialism and apocalypse themes."
159,The Island of Doctor Moreau,"Wells, H. G.",Early sci-fi & gothic,1896,"Vivisection, cruelty, personhood; bridges science, ethics, and the monstrous."
5230,The Invisible Man,"Wells, H. G.",Early sci-fi & gothic,1897,"Power without accountability; links to ethics, identity, and social breakdown."
164,Twenty Thousand Leagues Under the Sea,"Verne, Jules",Early sci-fi & gothic,1870,"Technology wonder, isolation at sea; connects exploration + science clusters."
18857,Journey to the Center of the Earth,"Verne, Jules",Early sci-fi & gothic,1864,"Exploration, geology, unknown worlds; feeds science and the unknown cluster."
2147,Works of Edgar Allan Poe Volume 1,"Poe, Edgar Allan",Early sci-fi & gothic,1840,"Horror, madness, obsession; anchors dark psychology and gothic clusters."
624,Looking Backward 2000-1887,"Bellamy, Edward",Early sci-fi & gothic,1888,"Utopian economics, equality; anchors utopia/dystopia domain."
32,Herland,"Gilman, Charlotte Perkins",Early sci-fi & gothic,1915,"Feminist utopia, social design; bridges gender constraint with utopian politics."
120,Treasure Island,"Stevenson, Robert Louis",Early sci-fi & gothic,1883,"Adventure, loyalty, moral ambiguity; connects to journey and exploration clusters."
1497,The Republic,Plato,Philosophy & essays,-380,"Justice, governance, virtue; key for power/governance thematic domain."
1600,Symposium,Plato,Philosophy & essays,-385,"Love, desire, beauty; links eros to ethics and social bonds clusters."
8438,Nicomachean Ethics,Aristotle,Philosophy & essays,-340,"Virtue ethics, flourishing; stabilizes good life conceptual clusters."
2680,Meditations,"Aurelius, Marcus",Philosophy & essays,180,"Stoicism, resilience, self-discipline; connects to self-cultivation clusters."
1232,The Prince,"Machiavelli, Niccolò",Philosophy & essays,1532,"Realpolitik, power; anchors governance and manipulation themes."
3207,Leviathan,"Hobbes, Thomas",Philosophy & essays,1651,"State, sovereignty, fear; complements Plato/Machiavelli governance clusters."
7370,Second Treatise of Government,"Locke, John",Philosophy & essays,1689,"Rights, consent, property; supports liberal governance discourse."
34901,On Liberty,"Mill, John Stuart",Philosophy & essays,1859,"Freedom, harm principle; intersects politics, individuality, morality."
11224,Utilitarianism,"Mill, John Stuart",Philosophy & essays,1863,"Consequences, happiness calculus; links ethics to social policy."
4363,Beyond Good and Evil,"Nietzsche, Friedrich",Philosophy & essays,1886,"Morality critique, will to power; drives existential/nihilism cluster."
1998,Thus Spake Zarathustra,"Nietzsche, Friedrich",Philosophy & essays,1885,"Meaning-making, overcoming; complements existential and self-creation themes."
2944,"Essays, First Series","Emerson, Ralph Waldo",Philosophy & essays,1841,"Self-reliance, nature; bridges Thoreau and American transcendentalism."
8800,The Divine Comedy,"Dante Alighieri",World classics,1320,"Moral cosmology, justice; links sin/virtue themes across eras."
996,Don Quixote,"Cervantes, Miguel de",World classics,1605,"Reality vs illusion, idealism; connects to identity and narrative selfhood."
135,Les Misérables,"Hugo, Victor",World classics,1862,"Justice, poverty, redemption; bridges social critique and moral philosophy."
1184,The Count of Monte Cristo,"Dumas, Alexandre",World classics,1844,"Revenge, identity, power; connects to justice and transformation clusters."
1257,The Three Musketeers,"Dumas, Alexandre",World classics,1844,"Honor, loyalty, politics; links adventure to governance/social networks."
2413,Madame Bovary,"Flaubert, Gustave",World classics,1857,"Desire, boredom, social constraint; cross-links with Austen/Wharton gender themes."
1237,Father Goriot,"Balzac, Honoré de",World classics,1835,"Social climbing, paternal sacrifice; strengthens ambition/class cluster."
44747,The Red and the Black,"Stendhal",World classics,1830,"Ambition, hypocrisy; reinforces class mobility and moral compromise."
19942,Candide,"Voltaire",World classics,1759,"Satire, optimism vs suffering; bridges philosophy with war/disaster themes."
1727,The Odyssey,"Homer",World classics,-800,"Homecoming, identity, trials; anchors epic journey and fate clusters."
2199,The Iliad,"Homer",World classics,-750,"War, honor, rage; anchors war/aftermath and heroism clusters."
228,The Aeneid,"Virgil",World classics,-19,"Empire, duty, destiny; links governance with war and founding myths."
14591,Faust Part 1,"Goethe, Johann Wolfgang von",World classics,1808,"Knowledge, temptation, ambition; rich philosophical and moral themes."
28621,Metamorphoses,"Ovid",World classics,8,"Transformation myths; feeds identity, change, and metamorphosis clusters."
1524,Hamlet,"Shakespeare, William",Drama,1601,"Indecision, revenge, madness; overlaps psychological torment clusters."
1533,Macbeth,"Shakespeare, William",Drama,1606,"Ambition, guilt, fate; links power and moral corruption themes."
1128,King Lear,"Shakespeare, William",Drama,1606,"Authority, family betrayal; connects governance with suffering and madness."
1127,Othello,"Shakespeare, William",Drama,1603,"Jealousy, race, manipulation; bridges identity, trust, and tragedy."
2542,A Doll's House,"Ibsen, Henrik",Drama,1879,"Gender roles, autonomy, marriage; core gender/constraint cluster."
4093,Hedda Gabler,"Ibsen, Henrik",Drama,1891,"Control, boredom, social pressure; complements psychological + constraint themes."
844,The Importance of Being Earnest,"Wilde, Oscar",Drama,1895,"Social performance, hypocrisy; sharp satire for class and identity clusters."
1754,The Cherry Orchard,"Chekhov, Anton",Drama,1904,"Decline, class change, memory; bridges social transition and nostalgia themes."
1228,On the Origin of Species,"Darwin, Charles",Essays & nonfiction,1859,"Evolution, natural selection; anchors science discourse and nature clusters."
944,The Voyage of the Beagle,"Darwin, Charles",Essays & nonfiction,1839,"Exploration, observation, nature; links travel narrative to scientific method."
147,Common Sense,"Paine, Thomas",Essays & nonfiction,1776,"Revolutionary argumentation; connects rhetoric and political change clusters."
3742,Rights of Man,"Paine, Thomas",Essays & nonfiction,1791,"Rights discourse, legitimacy; complements Locke/Mill governance themes."
3420,A Vindication of the Rights of Woman,"Wollstonecraft, Mary",Essays & nonfiction,1792,"Gender rights, education; bridges feminist thought with political philosophy."
61,The Communist Manifesto,"Marx, Karl",Essays & nonfiction,1848,"Class struggle, ideology; bridges political philosophy and labor clusters."
18,The Federalist Papers,"Hamilton, Alexander",Essays & nonfiction,1788,"Governance design, faction; strengthens power/governance thematic domain."
408,The Souls of Black Folk,"Du Bois, W. E. B.",Essays & nonfiction,1903,"Double consciousness, race, sociology; links identity, democracy, and justice clusters."
2376,Up from Slavery,"Washington, Booker T.",Essays & nonfiction,1901,"Education, resilience, race; complements Douglass/Du Bois on identity and progress."
132,The Art of War,"Sun Tzu",Essays & nonfiction,-500,"Strategy, power, conflict; bridges war and governance clusters."
3300,The Wealth of Nations,"Smith, Adam",Essays & nonfiction,1776,"Economics, markets, labor; bridges political philosophy and social organization."
3600,"Essays of Montaigne, Complete","Montaigne, Michel de",Essays & nonfiction,1580,"Introspection, skepticism, self-knowledge; anchors personal essay and philosophy clusters."
